ID,title,author,read,listened,finishedAt,rating,priority,coverUrl
6fcc8c70-b4b4-45c9-8f0c-f323c712a406,Softwar,Jason Paul Lowery,False,False,,,2,
7335e976-71c4-4e5a-9238-2f6bc47e190f,How Not to Be Wrong,Jordan Ellenberg,False,False,,,2,
73a80a47-8947-4a83-a4fd-4f0604759358,The Metamorphosis,Franz Kafka,True,False,,2.0,0,
75242519-0dfc-4b6a-b44f-d7729bc726b4,The Asset Economy,Lisa Adkins,False,False,,,2,
753952b8-0bcd-4721-a6a9-74139f3a13e3,The Beginner's Guide to Mathematical Logic,Raymond Smullyan,False,False,,,2,
753a5ec5-5aab-4269-b138-61669490e43c,Gospel of Thomas,Ancient,False,False,,,1,
75799bf6-52e7-488b-889f-2dbd6c6855ab,Combinators,Stephen Wolfram,False,False,,,2,
805ffe70-cb4c-41f6-9412-04dca4861157,Surely You're Joking Mr. Feynman!,Richard P. Feynman,False,False,,,3,https://covers.openlibrary.org/b/id/9274698-M.jpg
81c26c46-af27-44ac-a462-3cc88c305a93,The Courage to Be Happy,Ichiro Kishimi,False,False,,,2,
824f2638-7cc2-4e3b-b487-d28787702c20,Perelandra,C.S. Lewis,True,False,,2.0,0,
827937fa-a68e-41e1-925a-ffb794e8871e,Spacetime and Geometry,Sean M. Carroll,False,False,,,2,
83b7eb23-7a7d-4393-adc6-369353bf4fba,Gravity's Rainbow,Thomas Pynchon,False,False,,,3,https://covers.openlibrary.org/b/id/97894-M.jpg
84e0685a-7c92-4d03-86e8-9fce23fc20e4,American Psycho,Bret Easton Ellis,False,False,,,3,https://covers.openlibrary.org/b/id/8401686-M.jpg
863df044-6d32-4beb-a587-6d00140f88f6,Good Energy,Casey Means,False,False,,,2,
8831987a-9107-4bd8-a0b8-581aa47bd99a,Why? The Purpose of the Universe,Philip Goff,False,False,,,2,
892d0fda-b72c-4bc3-ab52-95260c0e177f,Père Goriot,Honoré de Balzac,False,False,,,3,https://covers.openlibrary.org/b/id/8237944-M.jpg
8ab475ed-7f21-46ba-8478-6ebc1a4747ef,Bhagavad Gita,Ancient,False,False,,,2,
8d671aa0-712d-4d4e-8cc1-02bf20fd654e,My Heart,Christof Koch,False,False,,,2,
8eb68288-031b-4e20-8a58-c24d20236963,Patterns of Enterprise Application Architecture,Martin Fowler,False,False,,,2,
8f78afc3-257a-4a85-b118-583d413df440,Mycelium Running,Paul Stamets,False,False,,,3,https://covers.openlibrary.org/b/id/838922-M.jpg
91b54493-77c4-495f-9ec9-9f82e4162a41,Die Stadt der Träumenden Bücher,Walter Moers,True,False,,4.0,1,
922a3416-4925-4b80-9753-ddb37978a6b4,The Plague,Albert Camus,False,False,,,3,
92c52da5-c6be-459e-b38c-8e1f147f6efb,Tripping on Utopia,Benjamin Breen,False,False,,,2,
956517a4-b537-4233-a96f-d974bb6f7a88,Log of the Mahina,John Neal,False,False,,,4,https://covers.openlibrary.org/b/id/13805562-M.jpg
97324268-5329-4a03-86c8-c37904d76ed2,Paradise Lost,John Milton,False,False,,,2,
9936754a-1fc4-4aaf-b17f-0791c1bf4d29,Siddhartha,Hermann Hesse,False,False,,,2,
9d85e10c-d92b-4fc3-9495-97761db04938,Der Schatten des Windes,Carlos Ruiz Zafón,True,False,,2.0,2,
9ec64adc-3e8b-46e8-8785-094e50a61722,How to Win Friends and Influence People,Dale Carnegie,False,False,,,1,
a0b2a4d5-7cd6-4dd8-acd1-967bf6d6034d,The Unexpected Truth About Animals,Lucy Cooke,False,False,,,2,
a1200ca6-2f5d-4081-8f46-05202f4f5865,The Idiot,Fyodor Dostoevsky,True,False,,3.0,0,
a14495c1-ce9b-457e-91e8-78d032a18224,American Gods,Neil Gaiman,True,False,,3.0,3,https://covers.openlibrary.org/b/id/8494659-M.jpg
a5cdb456-c17f-408c-b186-180befbff0de,The Golden Compass,Philip Pullman,False,False,,,3,https://covers.openlibrary.org/b/id/2762159-M.jpg
a708386e-2d0c-42a4-b27f-ced5fd669cac,The Manticore,Robertson Davies,True,False,,3.0,0,
a7644bd5-80da-447a-8372-e7bee7bd1fd6,Die Physiker,Friedrich Dürrenmatt,True,False,,3.0,2,
a9aeeda4-80d4-4c6c-b059-e99a00bfc380,Zero to One,Peter Thiel,False,False,,,2,
ab30867f-b16d-408a-88c6-aab1735e60c3,Expedition ins Ungewisse,Marleen Nelen,True,False,,3.0,3,
ab53c91a-d57d-489c-a64a-ca534b3a4bd7,Surface Detail,Iain M. Banks,False,False,,,3,
ab8a24b0-922b-4b71-868f-34908206b990,The Bitcoin Standard,Saifedean Ammous,False,False,,,1,
b03b505d-aa54-445d-86c3-f86c2ff4fb87,World of Wonders,Robertson Davies,True,False,,3.0,0,
b40fdc73-7145-4248-b882-f1838ecf5bba,A New Kind of Science,Stephen Wolfram,False,False,,,2,
b40ffadc-5a84-43c9-8f89-057019055287,Sapiens,Yuval Noah Harari,False,True,,,1,
b4382af7-cb0e-4994-bfdb-cfa566086590,Ready Player One,Ernest Cline,False,False,,,2,
b43aa90b-caea-4106-a1e2-3b0a03fac56b,The Power of Mindful Learning,Ellen J. Langer,False,False,,,2,
b66d2087-a71d-4dda-af71-6a52f41a367e,Something Deeply Hidden,Sean Carroll,False,False,,,3,
ba371b8e-59d8-4f74-a536-96c1ce780963,Principles,Ray Dalio,True,False,,2.0,0,
bb7c6781-c940-46c9-890c-6adbc07dec2d,The Creature from Jekyll Island,G. Edward Griffin,False,False,,,1,
c103e617-aead-4582-93ec-27fee6ce3919,Nicomachean Ethics,Aristotle,False,False,,,2,
c15ee22b-8663-4421-b554-4576f9ca75b0,The Three-Body Problem,Liu Cixin,False,False,,,4,https://covers.openlibrary.org/b/id/7893958-M.jpg
c2873447-212c-4b29-9e00-de58e6ff3294,Collected Fictions,Jorge Luis Borges,False,False,,,3,
c375b793-ebad-4091-8387-b73d7719393d,Ensel und Krete,Walter Moers,True,False,,2.0,1,
c407e3e9-b289-40a9-88d1-07d87e1f3902,1 2 3 Infinity,George Gamow,False,False,,,1,
c69eb772-a63a-4e62-9d80-d0588c1e45c0,Eragon,Christopher Paolini,False,True,,,2,
c77758e8-51b7-49c9-80bb-58c7abae4b3e,The Holographic Universe,Michael Talbot,False,False,,,2,
c87127a6-4dde-4604-968e-3ba395f61dac,Sprint,Jake Knapp,False,False,,,1,
c992e59f-56c4-4f91-9c90-36fb7459be9f,Simulacra and Simulation,Jean Baudrillard,False,False,,,1,
cbe32c46-3b3f-4e0a-ac0f-17c40cbf3fe5,Life 3.0,Max Tegmark,False,False,,,1,
cc478127-2b2c-4d4e-9a16-e381345fdc26,The Light Pirate,Lily Brooks-Dalton,False,False,,,2,
ccc9d5f2-f0f4-43c7-a1b0-a0c5eef96726,Emblems of Mind,Edward Rothstein,False,False,,,1,
cd2d060c-fed0-4e55-bfa4-e37e88441b3e,The Hunger Games,Suzanne Collins,True,False,,3.0,3,
cf8ea63c-d8ff-4f91-8218-460c3e8b29cb,The Most Good You Can Do,Peter Singer,False,False,,,2,
d281d5a7-c086-4698-a502-e6a471f0b28c,War Is a Racket,Smedley Butler,False,False,,,2,
d2c4ab05-2aca-432d-a11d-2fb9ef166837,Plato's Republic,Plato,False,False,,,3,
d3d0d5b6-27bb-459d-9f6e-88576ef69609,Tao Te Ching,Lao Tzu,False,False,,,3,
d40ff07d-1ff9-48a2-8811-54dcabe9fe10,Fewer Better Things,Glenn Adamson,False,False,,,2,
d47e9414-9252-4db9-86cd-a4dc57d48e31,The Old Man and the Sea,Ernest Hemingway,False,True,,,1,
d585117b-c4ab-4b0d-bcb3-46715894f86e,Catch-22,Joseph Heller,False,False,,,1,
d7608041-795a-4272-9a86-d5c9402d945d,Barbarian Days,William Finnegan,True,False,,3.0,0,
d76d67c5-3883-4616-932b-84041376e64c,Slaughterhouse-Five,Kurt Vonnegut,False,False,,,4,https://covers.openlibrary.org/b/id/12727001-M.jpg
d8fa5abb-b9f7-4a2f-bc78-62bdc4083505,The Worldly Philosophers,Robert L. Heilbroner,False,False,,,1,
db15e0b5-4c2f-4f67-ae9f-846ccd659ef3,The 48 Laws of Power,Robert Greene,False,False,,,1,
de82c8f7-1db2-4914-9ac6-863228bc2ec6,Project Hail Mary,Andy Weir,False,False,,,4,https://covers.openlibrary.org/b/id/11200092-M.jpg
e0df2dd2-5c80-48f6-b68d-a716b6507496,Mindfulness,Ellen J. Langer,False,False,,,1,
e0fa3f9c-a038-49bd-9034-2231de4eec1c,The Power of Control,Tom Pane,False,False,,,2,
e2108f08-8630-4da3-bd84-d1b8eb423605,Die Wolke,Gudrun Pausewang,True,False,,3.0,2,
e25c4606-35ba-409d-b79c-2d766d1c968f,Out of the Silent Planet,C.S. Lewis,True,False,,3.0,0,
e48beb7f-2fc1-4c71-a138-3f9ab6a0f64f,The Trial,Franz Kafka,False,False,,,3,
e71b91df-3975-4061-a114-270d45125bf1,The Fall,Albert Camus,False,False,,,3,
ef5580ca-84b1-459f-bf7d-8e4b3776d150,Atlas Shrugged,Ayn Rand,False,False,,,3,
f420d363-33a6-4a5f-9950-7b9a958f1438,The Beginning of Infinity,David Deutsch,False,False,,,2,
f5ae4df6-1cad-4cb6-a30f-92baaa8f9b3d,Inspired,Marty Cagan,False,False,,,1,
f5d83980-cb8c-47fb-b08d-a6ae7715433d,Hegel,Peter Singer,False,False,,,2,
fc443632-71c0-485a-89fd-1637725ab569,Rarotonga,Christian Williams,False,False,,,4,
ffd44cd8-634d-42de-9332-d5454c914a74,Stranger in a Strange Land,Robert A. Heinlein,False,False,,,3,
